Sample,X,Y,Z
0,0.3933105469,0.0156250000,0.8276367188
1,0.3933105469,0.0280761719,0.8332519531
2,0.3881835938,0.0341796875,0.8115234375
3,0.3867187500,0.0280761719,0.8222656250
4,0.3894042969,0.0187988281,0.8156738281
5,0.3908691406,0.0288085938,0.8334960938
6,0.3891601562,0.0253906250,0.8261718750
7,0.3928222656,0.0180664062,0.8212890625
8,0.3945312500,0.0275878906,0.8220214844
9,0.3911132812,0.0266113281,0.8242187500
10,0.3918457031,0.0251464844,0.8173828125
11,0.3942871094,0.0253906250,0.8273925781
12,0.3874511719,0.0207519531,0.8225097656
13,0.3916015625,0.0217285156,0.8212890625
14,0.3918457031,0.0258789062,0.8205566406
15,0.3945312500,0.0212402344,0.8286132812
16,0.3913574219,0.0222167969,0.8208007812
17,0.3881835938,0.0270996094,0.8203125000
18,0.3930664062,0.0322265625,0.8151855469
19,0.3867187500,0.0268554688,0.8166503906
20,0.3886718750,0.0256347656,0.8159179688
21,0.3984375000,0.0278320312,0.8217773438
22,0.3923339844,0.0268554688,0.8156738281
23,0.3930664062,0.0278320312,0.8293457031
24,0.3913574219,0.0302734375,0.8305664062
25,0.3972167969,0.0256347656,0.8164062500
26,0.3898925781,0.0212402344,0.8217773438
27,0.3913574219,0.0227050781,0.8249511719
28,0.3859863281,0.0183105469,0.8288574219
29,0.3889160156,0.0266113281,0.8305664062
30,0.3874511719,0.0236816406,0.8308105469
31,0.3955078125,0.0285644531,0.8342285156
32,0.3925781250,0.0161132812,0.8312988281
33,0.3879394531,0.0227050781,0.8364257812
34,0.3889160156,0.0180664062,0.8212890625
35,0.3945312500,0.0229492188,0.8281250000
36,0.3862304688,0.0214843750,0.8234863281
37,0.3942871094,0.0207519531,0.8334960938
38,0.3967285156,0.0207519531,0.8205566406
39,0.3884277344,0.0219726562,0.8261718750
40,0.3879394531,0.0244140625,0.8217773438
41,0.3889160156,0.0234375000,0.8190917969
42,0.3906250000,0.0202636719,0.8222656250
43,0.3906250000,0.0234375000,0.8173828125
44,0.3940429688,0.0241699219,0.8161621094
45,0.3901367188,0.0258789062,0.8193359375
46,0.3867187500,0.0270996094,0.8083496094
47,0.3981933594,0.0302734375,0.8249511719
48,0.3940429688,0.0246582031,0.8146972656
49,0.3894042969,0.0224609375,0.8193359375
50,0.3906250000,0.0253906250,0.8178710938
51,0.3947753906,0.0263671875,0.8203125000
52,0.3964843750,0.0229492188,0.8234863281
53,0.3940429688,0.0283203125,0.8168945312
54,0.3959960938,0.0263671875,0.8193359375
55,0.3942871094,0.0305175781,0.8183593750
56,0.3967285156,0.0368652344,0.8239746094
57,0.3925781250,0.0307617188,0.8171386719
58,0.3964843750,0.0222167969,0.8166503906
59,0.3979492188,0.0249023438,0.8049316406
60,0.3933105469,0.0251464844,0.8190917969
61,0.3981933594,0.0273437500,0.8073730469
62,0.3967285156,0.0224609375,0.8137207031
63,0.3989257812,0.0209960938,0.8088378906
64,0.3957519531,0.0246582031,0.8068847656
65,0.4013671875,0.0319824219,0.8117675781
66,0.3986816406,0.0319824219,0.8078613281
67,0.3937988281,0.0305175781,0.8198242188
68,0.3974609375,0.0285644531,0.8171386719
69,0.3991699219,0.0288085938,0.8195800781
70,0.3928222656,0.0256347656,0.8078613281
71,0.4030761719,0.0234375000,0.8098144531
72,0.4020996094,0.0280761719,0.8210449219
73,0.4038085938,0.0327148438,0.8039550781
74,0.4030761719,0.0246582031,0.8127441406
75,0.3979492188,0.0229492188,0.8105468750
76,0.3911132812,0.0217285156,0.8103027344
77,0.3957519531,0.0263671875,0.8063964844
78,0.3955078125,0.0317382812,0.8090820312
79,0.4030761719,0.0297851562,0.8193359375
80,0.4035644531,0.0312500000,0.8129882812
81,0.4006347656,0.0314941406,0.7927246094
82,0.3981933594,0.0219726562,0.8063964844
83,0.3967285156,0.0148925781,0.8271484375
84,0.3957519531,0.0202636719,0.8239746094
85,0.4025878906,0.0202636719,0.8088378906
86,0.3964843750,0.0168457031,0.8095703125
87,0.4020996094,0.0178222656,0.8171386719
88,0.4018554688,0.0229492188,0.8286132812
89,0.3999023438,0.0166015625,0.8115234375
