Sample,X,Y,Z
0,-0.1137695312,-0.0026855469,0.8747558594
1,-0.1108398438,0.0051269531,0.8759765625
2,-0.1047363281,0.0134277344,0.8649902344
3,-0.1069335938,0.0095214844,0.8745117188
4,-0.1135253906,0.0007324219,0.8803710938
5,-0.1098632812,0.0002441406,0.8674316406
6,-0.1069335938,0.0107421875,0.8708496094
42,-0.1145019531,0.0053710938,0.8801269531
43,-0.1135253906,-0.0009765625,0.8786621094
44,-0.1062011719,0.0065917969,0.8696289062
45,-0.1120605469,0.0085449219,0.8664550781
66,-0.1110839844,0.0026855469,0.8818359375
67,-0.1115722656,0.0000000000,0.8679199219
78,-0.1115722656,0.0036621094,0.8706054688
79,-0.1093750000,0.0046386719,0.8706054688
90,-0.1079101562,0.0026855469,0.8701171875
91,-0.1076660156,0.0090332031,0.8701171875
102,-0.1110839844,0.0051269531,0.8781738281
103,-0.1125488281,0.0024414062,0.8754882812
114,-0.1076660156,0.0021972656,0.8757324219
115,-0.1145019531,0.0070800781,0.8754882812
126,-0.1057128906,0.0034179688,0.8759765625
132,-0.1054687500,0.0048828125,0.8791503906
133,-0.1110839844,0.0019531250,0.8796386719
144,-0.1125488281,0.0039062500,0.8627929688
145,-0.1149902344,0.0048828125,0.8679199219
156,-0.1181640625,0.0014648438,0.8718261719
162,-0.1057128906,-0.0051269531,0.8806152344
163,-0.1044921875,0.0061035156,0.8793945312
174,-0.1145019531,0.0129394531,0.8781738281
175,-0.1113281250,0.0039062500,0.8798828125
186,-0.1127929688,0.0014648438,0.8725585938
192,-0.1157226562,0.0092773438,0.8837890625
193,-0.1079101562,0.0053710938,0.8779296875
204,-0.1091308594,0.0039062500,0.8784179688
205,-0.1103515625,0.0039062500,0.8747558594
216,-0.1101074219,0.0017089844,0.8764648438
217,-0.1088867188,0.0036621094,0.8776855469
228,-0.1079101562,0.0002441406,0.8654785156
234,-0.1159667969,0.0075683594,0.8754882812
235,-0.1093750000,0.0085449219,0.8737792969
246,-0.1101074219,0.0043945312,0.8830566406
247,-0.1115722656,0.0085449219,0.8813476562
