Sample,X,Y,Z
0,-0.1135253906,0.0009765625,0.8720703125
1,-0.1132812500,-0.0021972656,0.8732910156
2,-0.1132812500,-0.0007324219,0.8708496094
3,-0.1113281250,0.0004882812,0.8737792969
4,-0.1083984375,-0.0004882812,0.8757324219
5,-0.1123046875,-0.0007324219,0.8720703125
6,-0.1066894531,-0.0002441406,0.8784179688
7,-0.1113281250,0.0051269531,0.8752441406
8,-0.1091308594,0.0073242188,0.8784179688
9,-0.1140136719,0.0000000000,0.8718261719
10,-0.1103515625,-0.0002441406,0.8771972656
11,-0.1115722656,0.0007324219,0.8681640625
12,-0.1066894531,-0.0019531250,0.8688964844
13,-0.1123046875,0.0043945312,0.8718261719
14,-0.1137695312,-0.0002441406,0.8815917969
15,-0.1164550781,0.0019531250,0.8710937500
16,-0.1098632812,0.0036621094,0.8713378906
17,-0.1142578125,-0.0007324219,0.8725585938
18,-0.1142578125,0.0063476562,0.8784179688
19,-0.1120605469,0.0048828125,0.8713378906
20,-0.1154785156,-0.0009765625,0.8713378906
21,-0.1125488281,0.0004882812,0.8725585938
22,-0.1127929688,0.0009765625,0.8798828125
23,-0.1149902344,0.0026855469,0.8771972656
24,-0.1159667969,-0.0004882812,0.8796386719
25,-0.1091308594,0.0036621094,0.8720703125
26,-0.1157226562,0.0036621094,0.8781738281
27,-0.1147460938,0.0031738281,0.8691406250
28,-0.1157226562,0.0046386719,0.8771972656
29,-0.1152343750,0.0009765625,0.8752441406
30,-0.1118164062,0.0004882812,0.8762207031
31,-0.1096191406,-0.0026855469,0.8706054688
32,-0.1125488281,0.0000000000,0.8718261719
33,-0.1115722656,0.0061035156,0.8784179688
34,-0.1044921875,0.0002441406,0.8725585938
35,-0.1096191406,0.0009765625,0.8742675781
36,-0.1176757812,0.0039062500,0.8696289062
37,-0.1123046875,0.0012207031,0.8811035156
38,-0.1059570312,-0.0007324219,0.8735351562
39,-0.1132812500,0.0002441406,0.8735351562
40,-0.1142578125,0.0029296875,0.8776855469
41,-0.1130371094,0.0009765625,0.8752441406
42,-0.1127929688,0.0043945312,0.8735351562
43,-0.1118164062,-0.0024414062,0.8732910156
44,-0.1142578125,-0.0009765625,0.8735351562
45,-0.1120605469,0.0000000000,0.8715820312
46,-0.1123046875,-0.0019531250,0.8725585938
47,-0.1079101562,0.0007324219,0.8784179688
48,-0.1186523438,0.0046386719,0.8825683594
49,-0.1123046875,0.0002441406,0.8769531250
50,-0.1110839844,-0.0014648438,0.8771972656
51,-0.1164550781,-0.0019531250,0.8701171875
52,-0.1140136719,0.0046386719,0.8752441406
53,-0.1154785156,-0.0004882812,0.8747558594
54,-0.1115722656,0.0031738281,0.8757324219
55,-0.1093750000,0.0048828125,0.8779296875
56,-0.1140136719,0.0048828125,0.8701171875
57,-0.1149902344,-0.0004882812,0.8713378906
58,-0.1123046875,0.0007324219,0.8752441406
59,-0.1181640625,-0.0024414062,0.8735351562
60,-0.1164550781,0.0012207031,0.8833007812
61,-0.1054687500,0.0009765625,0.8798828125
62,-0.1113281250,0.0036621094,0.8840332031
63,-0.1154785156,-0.0048828125,0.8740234375
64,-0.1149902344,-0.0019531250,0.8801269531
65,-0.1127929688,0.0041503906,0.8750000000
66,-0.1135253906,-0.0031738281,0.8759765625
67,-0.1157226562,0.0017089844,0.8781738281
68,-0.1154785156,0.0024414062,0.8764648438
